# 页面: 启动器中不可用的Java版版本
# 来源: https://zh.minecraft.wiki/w/%E5%90%AF%E5%8A%A8%E5%99%A8%E4%B8%AD%E4%B8%8D%E5%8F%AF%E7%94%A8%E7%9A%84Java%E7%89%88%E7%89%88%E6%9C%AC
# 分类: 
# 抓取时间: 2026-07-14 17:22:02
# 原始 Wikitext 内容:

此条目列出了[[启动器]]中不可用的所有Java版版本。所有未公开发布过的版本不在此列出。

== Classic ==
=== 客户端 ===
==== 常规版本 ====
{{columns-list|colwidth=15em|
* [[Java版Classic 0.0.12a|0.0.12a]]
* [[Java版Indev 20100218-0011|Minecraft Indev 20100218-0011]]
* [[Java版Indev 20100218-0016|Minecraft Indev 20100218-0016]]
* [[Java版Indev 20100219|Minecraft Indev 20100219]]
* [[Java版Indev 20100223|Minecraft Indev 20100223]]
}}

== Infdev ==
{{columns-list|colwidth=15em|
* [[Java版Infdev 20100227-1414|Minecraft Infdev 20100227-1414]]
* [[Java版Infdev 20100227-1433|Minecraft Infdev 20100227-1433]]
* [[Java版Infdev 20100313|Minecraft Infdev 20100313]]
* [[Java版Infdev 20100316|Minecraft Infdev 20100316]]
* [[Java版Infdev 20100320|Minecraft Infdev 20100320]]
* [[Java版Infdev 20100321|Minecraft Infdev 20100321]]
* [[Java版Infdev 20100325-1545|Minecraft Infdev 20100325-1545]]
* [[Java版Infdev 20100325-1640|Minecraft Infdev 20100325-1640]]
* [[Java版Infdev 20100327|Minecraft Infdev 20100327]]
* [[Java版Infdev 20100330-1203|Minecraft Infdev 20100330-1203]]
* [[Java版Infdev 20100330-1611|Minecraft Infdev 20100330-1611]]
* [[Java版Infdev 20100413-1951|Minecraft Infdev 20100413-1951]]
* [[Java版Infdev 20100413-1953|Minecraft Infdev 20100413-1953]]
* [[Java版Infdev 20100414|Minecraft Infdev 20100414]]
* [[Java版Infdev 20100415|Minecraft Infdev 20100415]]
* [[Java版Infdev 20100420|Minecraft Infdev 20100420]]
* [[Java版Infdev 20100607|Minecraft Infdev 20100607]]
* [[Java版Infdev 20100608|Minecraft Infdev 20100608]]
* [[Java版Infdev 20100611|Minecraft Infdev 20100611]]
* [[Java版Infdev 20100615|Minecraft Infdev 20100615]]
* [[Java版Infdev 20100616-1808|Minecraft Infdev 20100616-1808]]
* [[Java版Infdev 20100616-2210|Minecraft Infdev 20100616-2210]]
* [[Java版Infdev 20100617-1205|Minecraft Infdev 20100617-1205]]
* [[Java版Infdev 20100617-1531|Minecraft Infdev 20100617-1531]]
* [[Java版Infdev 20100624|Minecraft Infdev 20100624]]
* [[Java版Infdev 20100625-0922|Minecraft Infdev 20100625-0922]]
* [[Java版Infdev 20100625-1917|Minecraft Infdev 20100625-1917]]
* [[Java版Infdev 20100627|Minecraft Infdev 20100627]]
* [[Java版Infdev 20100629|Minecraft Infdev 20100629]]
* [[Java版Infdev 20100630-1340|Minecraft Infdev 20100630-1340]]
* [[Java版Infdev 20100630-1835|Minecraft Infdev 20100630-1835]]
}}

== Alpha ==
=== 客户端 ===
==== 常规版本 ====
{{columns-list|colwidth=15em|
* [[Java版Alpha v1.0.1|Alpha v1.0.1]]
* [[Java版Alpha v1.0.1_01|Alpha v1.0.1_01]]
* [[Java版Alpha v1.0.2|Alpha v1.0.2]]
* [[Java版Alpha v1.0.2_01|Alpha v1.0.2_01]]
* [[Java版Alpha v1.0.2_02|Alpha v1.0.2_02]]
* [[Java版Alpha v1.0.3|Alpha v1.0.3]]
* [[Java版Alpha v1.0.4|Alpha v1.0.4]]
* [[Java版Alpha v1.0.5|Alpha v1.0.5]]
* [[Java版Alpha v1.0.6|Alpha v1.0.6]]
* [[Java版Alpha v1.0.6_01|Alpha v1.0.6_01]]
* [[Java版Alpha v1.0.6_02|Alpha v1.0.6_02]]
* [[Java版Alpha v1.0.6_03|Alpha v1.0.6_03]]
* [[Java版Alpha v1.0.7|Alpha v1.0.7]]
* [[Java版Alpha v1.0.8|Alpha v1.0.8]]
* [[Java版Alpha v1.0.8_01|Alpha v1.0.8_01]]
* [[Java版Alpha v1.0.9|Alpha v1.0.9]]
* [[Java版Alpha v1.0.10|Alpha v1.0.10]]
* [[Java版Alpha v1.0.12|Alpha v1.0.12]]
* [[Java版Alpha v1.0.13|Alpha v1.0.13]]
* [[Java版Alpha v1.0.13_01|Alpha v1.0.13_01]]
* [[Java版Alpha v1.0.16_01|Alpha v1.0.16_01]]
* [[Java版Alpha v1.0.16_02|Alpha v1.0.16_02]]
* [[Java版Alpha v1.0.17|Alpha v1.0.17]]
* [[Java版Alpha v1.0.17_01|Alpha v1.0.17_01]]
* [[Java版Alpha v1.0.17_03|Alpha v1.0.17_03]]
* [[Java版Alpha v1.1.0|Alpha v1.1.0]]
* [[Java版Alpha v1.1.1|Alpha v1.1.1]]
* [[Java版Alpha v1.2.3_05|Alpha v1.2.3_05]]
}}

==== 非变种的原版 ====
{{columns-list|colwidth=15em|
* [[Java版Alpha v1.2.0|Alpha v1.2.0]]
* [[Java版Alpha v1.2.1|Alpha v1.2.1]]
}}

=== 服务端 ===
{{columns-list|colwidth=15em|
* [[Java版Alpha服务器0.1.0|0.1.0]]
* [[Java版Alpha服务器0.1.1|0.1.1]]
* [[Java版Alpha服务器0.1.2|0.1.2]]
* [[Java版Alpha服务器0.1.2_01|0.1.2_01]]
* [[Java版Alpha服务器0.1.3|0.1.3]]
* [[Java版Alpha服务器0.1.4|0.1.4]]
* [[Java版Alpha服务器0.2.0|0.2.0]]
* [[Java版Alpha服务器0.2.0_01|0.2.0_01]]
* [[Java版Alpha服务器0.2.1|0.2.1]]
* [[Java版Alpha服务器0.2.2|0.2.2]]
* [[Java版Alpha服务器0.2.2_01|0.2.2_01]]
* [[Java版Alpha服务器0.2.3|0.2.3]]
* [[Java版Alpha服务器0.2.4|0.2.4]]
* [[Java版Alpha服务器0.2.5|0.2.5]]
* [[Java版Alpha服务器0.2.5_01|0.2.5_01]]
* [[Java版Alpha服务器0.2.5_02|0.2.5_02]]
* [[Java版Alpha服务器0.2.6|0.2.6]]
* [[Java版Alpha服务器0.2.6_01|0.2.6_01]]
* [[Java版Alpha服务器0.2.6_02|0.2.6_02]]
* [[Java版Alpha服务器0.2.7|0.2.7]]
* [[Java版Alpha服务器0.2.8|0.2.8]]
}}

== Beta ==
=== 客户端与服务端 ===
{{columns-list|colwidth=15em|
* [[Java版Beta 1.1|Beta 1.1]]
* [[PC Gamer演示版]]
* [[Java版Beta 1.6 Test Build 3|Beta 1.6 Test Build 3]]
* [[Java版Beta 1.7_01|Beta 1.7_01]]
* [[Java版Beta 1.8-pre1|Beta 1.8-pre1]]
* [[Java版Beta 1.8-pre2|Beta 1.8-pre2]]
}}

=== 仅服务端 ===
{{columns-list|colwidth=15em|
* [[Java版Beta 1.0|Beta 1.0]]
* [[Java版Beta 1.0_01|Beta 1.0_01]]
* [[Java版Beta 1.1_01|Beta 1.1_01]]
* [[Java版Beta 1.1_02|Beta 1.1_02]]
* [[Java版Beta 1.2|Beta 1.2]]
* [[Java版Beta 1.2_01|Beta 1.2_01]]
* [[Java版Beta 1.3|Beta 1.3]]
* [[Java版Beta 1.4|Beta 1.4]]
* [[Java版Beta 1.4_01|Beta 1.4_01]]
* [[Java版Beta 1.5|Beta 1.5]]
* [[Java版Beta 1.5_01|Beta 1.5_01]]
* [[Java版Beta 1.5_02|Beta 1.5_02]]
* [[Java版Beta 1.6|Beta 1.6]]
* [[Java版Beta 1.6.1|Beta 1.6.1]]
* [[Java版Beta 1.6.2|Beta 1.6.2]]
* [[Java版Beta 1.6.3|Beta 1.6.3]]
* [[Java版Beta 1.6.4|Beta 1.6.4]]
* [[Java版Beta 1.6.5|Beta 1.6.5]]
* [[Java版Beta 1.6.6|Beta 1.6.6]]
* [[Java版Beta 1.7|Beta 1.7]]
* [[Java版Beta 1.7.2|Beta 1.7.2]]
* [[Java版Beta 1.7.3|Beta 1.7.3]]
* [[Java版Beta 1.8|Beta 1.8]]
* [[Java版Beta 1.8.1|Beta 1.8.1]]
}}

== 正式版 ==
=== 客户端与服务端 ===
==== 常规版本 ====
{{columns-list|colwidth=15em|
* [[Java版Beta 1.9-pre1|Beta 1.9-pre1]]
* [[Java版Beta 1.9-pre2|Beta 1.9-pre2]]
* [[Java版Beta 1.9-pre3|Beta 1.9-pre3]]
* [[Java版Beta 1.9-pre4|Beta 1.9-pre4]]
* [[Java版Beta 1.9-pre5|Beta 1.9-pre5]]
* [[Java版Beta 1.9-pre6|Beta 1.9-pre6]]
* [[Java版1.0.0-rc1|1.0.0-rc1]]
* [[Java版1.0.0-rc2|1.0.0-rc2]]
* [[Java版11w47a|11w47a]]
* [[Java版11w48a|11w48a]]
* [[Java版11w49a|11w49a]]
* [[Java版11w50a|11w50a]]
* [[Java版12w01a|12w01a]]
* [[Java版12w03a|12w03a]]
* [[Java版12w04a|12w04a]]
* [[Java版12w05a|12w05a]]
* [[Java版12w05b|12w05b]]
* [[Java版12w06a|12w06a]]
* [[Java版12w07a|12w07a]]
* [[Java版12w07b|12w07b]]
* [[Java版12w08a|12w08a]]
* [[Java版1.2|1.2]]
* [[Java版12w15a|12w15a]]
* [[Java版12w16a|12w16a]]
* [[Java版12w17a|12w17a]]
* [[Java版12w18a|12w18a]]
* [[Java版12w19a|12w19a]]
* [[Java版12w21a|12w21a]]
* [[Java版12w21b|12w21b]]
* [[Java版12w22a|12w22a]]
* [[Java版12w23a|12w23a]]
* [[Java版12w23b|12w23b]]
* [[Java版12w24a|12w24a]]
* [[Java版12w25a|12w25a]]
* [[Java版12w26a|12w26a]]
* [[Java版12w27a|12w27a]]
* [[Java版12w30a|12w30a]]
* [[Java版12w30b|12w30b]]
* [[Java版12w30c|12w30c]]
* [[Java版12w30d|12w30d]]
* [[Java版12w30e|12w30e]]
* [[Java版12w32a|12w32a]]
* [[Java版12w34a|12w34a]]
* [[Java版12w34b|12w34b]]
* [[Java版12w36a|12w36a]]
* [[Java版12w37a|12w37a]]
* [[Java版12w38a|12w38a]]
* [[Java版12w38b|12w38b]]
* [[Java版12w39a|12w39a]]
* [[Java版12w39b|12w39b]]
* [[Java版12w40a|12w40a]]
* [[Java版12w40b|12w40b]]
* [[Java版12w41a|12w41a]]
* [[Java版12w41b|12w41b]]
* [[Java版12w42a|12w42a]]
* [[Java版12w42b|12w42b]]
* [[Java版1.4.5-pre|1.4.5-pre]]
* [[Java版12w49a|12w49a]]
* [[Java版12w50a|12w50a]]
* [[Java版12w50b|12w50b]]
* [[Java版1.4.6-pre|1.4.6-pre]]
* [[Java版1.4.7-pre|1.4.7-pre]]
* [[Java版13w01a|13w01a]]
* [[Java版13w01b|13w01b]]
* [[Java版13w02a|13w02a]]
* [[Java版13w02b|13w02b]]
* [[Java版13w03a|13w03a]]
* [[Java版13w04a|13w04a]]
* [[Java版13w05a|13w05a]]
* [[Java版13w05b|13w05b]]
* [[Java版13w06a|13w06a]]
* [[Java版13w07a|13w07a]]
* [[Java版13w09a|13w09a]]
* [[Java版13w09b|13w09b]]
* [[Java版13w09c|13w09c]]
* [[Java版13w10a|13w10a]]
* [[Java版13w10b|13w10b]]
* [[Java版1.5-pre|1.5-pre]]
* [[Java版13w11a|13w11a]]
* [[Java版13w12~|13w12~]]
* [[Java版1.5.1-pre|1.5.1-pre]]
* [[Java版2.0|2.0]]
* [[Java版1.5.2-pre|1.5.2-pre]]
* [[Java版1.6.2-pre|1.6.2-pre]]
* [[Java版1.7.4-pre|1.7.4-pre]]
* [[Java版1.8.8-pre|1.8.8-pre]]
* [[Java版1.14.3 - Combat Test|1.14.3 - Combat Test]]
* [[Java版Combat Test 2|Combat Test 2]]
* [[Java版Combat Test 3|Combat Test 3]]
* [[Java版Combat Test 4|Combat Test 4]]
* [[Java版Combat Test 5|Combat Test 5]]
* [[Java版Combat Test 6|Combat Test 6]]
* [[Java版Combat Test 7|Combat Test 7]]
* [[Java版Combat Test 7b|Combat Test 7b]]
* [[Java版Combat Test 7c|Combat Test 7c]]
* [[Java版Combat Test 8|Combat Test 8a]]
* [[Java版Combat Test 8b|Combat Test 8b]]
* [[Java版Combat Test 8c|Combat Test 8c]]
* [[Java版1.18-exp1|1.18-exp1]]
* [[Java版1.18-exp2|1.18-exp2]]
* [[Java版1.18-exp3|1.18-exp3]]
* [[Java版1.18-exp4|1.18-exp4]]
* [[Java版1.18-exp5|1.18-exp5]]
* [[Java版1.18-exp6|1.18-exp6]]
* [[Java版1.18-exp7|1.18-exp7]]
* [[Java版1.19-exp1|1.19-exp1]]
}}

==== 未混淆版本 ====
{{columns-list|colwidth=15em|
* [[Java版25w45a|25w45a]]
* [[Java版25w46a|25w46a]]
* [[Java版1.21.11-pre1|1.21.11-pre1]]
* [[Java版1.21.11-pre2|1.21.11-pre2]]
* [[Java版1.21.11-pre3|1.21.11-pre3]]
* [[Java版1.21.11-pre4|1.21.11-pre4]]
* [[Java版1.21.11-pre5|1.21.11-pre5]]
* [[Java版1.21.11-rc1|1.21.11-rc1]]
* [[Java版1.21.11-rc2|1.21.11-rc2]]
* [[Java版1.21.11-rc3|1.21.11-rc3]]
* [[Java版1.21.11|1.21.11]]
}}

=== 仅服务端 ===
==== 常规版本 ====
{{columns-list|colwidth=15em|
* [[Java版1.0.0|1.0.0]]
* [[Java版1.0.1|1.0.1]]
* [[Java版1.1|1.1]]
* [[Java版1.2.1|1.2.1]]
* [[Java版1.2.2|1.2.2]]
* [[Java版1.2.3|1.2.3]]
* [[Java版1.2.4|1.2.4]]
}}

== 导航 ==
{{Navbox Java Edition versions}}

[[Category:启动器中不可用的Java版版本|*]]

[[en:Versions missing from the launcher]]
[[es:Versiones que faltan en el lanzador]]
[[ja:存在しないランチャーのバージョン]]
[[pt:Versões ausentes do launcher]]
[[ru:Потерянные версии в лаунчере]]
[[uk:Відсутні версії в лаунчері]]
